Date,Process_Name,Processing_Time_Hours,Error_Rate,Manual_Steps_Required,Automation_Level,Phase
2023-06-06,Performance Reviews,4.86,0.1374,8,Low,Before_Optimization
2023-06-07,Lead Qualification,2.95,0.1909,9,Low,Before_Optimization
2023-06-07,Customer Onboarding,8.63,0.176,9,Low,Before_Optimization
2023-06-07,Invoice Processing,1.98,0.0822,13,Low,Before_Optimization
2023-06-07,Report Generation,3.49,0.0512,13,Low,Before_Optimization
2023-06-07,Data Quality Checks,3.09,0.1835,12,Low,Before_Optimization
2023-06-07,Dashboard Updates,2.88,0.1151,14,Low,Before_Optimization
2023-06-07,Client Communications,1.37,0.1269,10,Low,Before_Optimization
2023-06-07,Performance Reviews,4.84,0.1384,8,Low,Before_Optimization
2023-06-08,Lead Qualification,2.96,0.1506,9,Low,Before_Optimization
2023-06-08,Customer Onboarding,10.4,0.0637,8,Low,Before_Optimization
2023-06-08,Invoice Processing,2.06,0.0575,11,Low,Before_Optimization
2023-06-08,Report Generation,3.24,0.0873,8,Low,Before_Optimization
2023-06-08,Data Quality Checks,2.43,0.0616,9,Low,Before_Optimization
2023-06-08,Dashboard Updates,1.69,0.1188,10,Low,Before_Optimization
2023-06-08,Client Communications,0.95,0.1396,9,Low,Before_Optimization
2023-06-08,Performance Reviews,6.36,0.1,9,Low,Before_Optimization
2023-06-09,Lead Qualification,3.41,0.1734,10,Low,Before_Optimization
2023-06-09,Customer Onboarding,7.99,0.168,10,Low,Before_Optimization
2023-06-09,Invoice Processing,1.85,0.1614,10,Low,Before_Optimization
2023-06-09,Report Generation,4.66,0.0603,9,Low,Before_Optimization
2023-06-09,Data Quality Checks,3.3,0.0809,10,Low,Before_Optimization
2023-06-09,Dashboard Updates,2.35,0.0903,11,Low,Before_Optimization
2023-06-09,Client Communications,1.44,0.179,9,Low,Before_Optimization
2023-06-09,Performance Reviews,8.11,0.1182,12,Low,Before_Optimization
2023-06-10,Lead Qualification,3.53,0.1457,13,Low,Before_Optimization
2023-06-10,Customer Onboarding,8.79,0.1164,11,Low,Before_Optimization
2023-06-10,Invoice Processing,1.35,0.1676,9,Low,Before_Optimization
2023-06-10,Report Generation,5.51,0.0939,10,Low,Before_Optimization
2023-06-10,Data Quality Checks,3.66,0.0802,13,Low,Before_Optimization
2023-06-10,Dashboard Updates,2.3,0.0584,13,Low,Before_Optimization
2023-06-10,Client Communications,0.82,0.0815,8,Low,Before_Optimization
2023-06-10,Performance Reviews,8.01,0.1115,9,Low,Before_Optimization
2023-06-11,Lead Qualification,2.72,0.1886,12,Low,Before_Optimization
2023-06-11,Customer Onboarding,7.3,0.0606,9,Low,Before_Optimization
2023-06-11,Invoice Processing,2.19,0.162,10,Low,Before_Optimization
2023-06-11,Report Generation,5.48,0.1528,10,Low,Before_Optimization
2023-06-11,Data Quality Checks,4.09,0.0512,11,Low,Before_Optimization
2023-06-11,Dashboard Updates,1.95,0.1273,14,Low,Before_Optimization
2023-06-11,Client Communications,0.98,0.1614,9,Low,Before_Optimization
2023-06-11,Performance Reviews,8.28,0.1684,14,Low,Before_Optimization
2023-06-12,Lead Qualification,2.38,0.1714,12,Low,Before_Optimization
2023-06-12,Customer Onboarding,8.23,0.1032,9,Low,Before_Optimization
2023-06-12,Invoice Processing,1.49,0.0848,8,Low,Before_Optimization
2023-06-12,Report Generation,3.49,0.1089,10,Low,Before_Optimization
2023-06-12,Data Quality Checks,4.14,0.1023,8,Low,Before_Optimization
2023-06-12,Dashboard Updates,2.8,0.1515,8,Low,Before_Optimization
2023-06-12,Client Communications,1.04,0.1193,13,Low,Before_Optimization
2023-06-12,Performance Reviews,6.64,0.1416,12,Low,Before_Optimization
2023-06-13,Lead Qualification,2.8,0.1117,13,Low,Before_Optimization
2023-06-13,Customer Onboarding,8.55,0.1234,12,Low,Before_Optimization
2023-06-13,Invoice Processing,1.37,0.0503,9,Low,Before_Optimization
2023-06-13,Report Generation,4.69,0.1684,13,Low,Before_Optimization
2023-06-13,Data Quality Checks,2.74,0.0625,8,Low,Before_Optimization
2023-06-13,Dashboard Updates,2.18,0.1599,10,Low,Before_Optimization
2023-06-13,Client Communications,0.97,0.1031,11,Low,Before_Optimization
2023-06-13,Performance Reviews,7.25,0.0678,9,Low,Before_Optimization
2023-06-14,Lead Qualification,3.06,0.0868,14,Low,Before_Optimization
2023-06-14,Customer Onboarding,7.76,0.0901,13,Low,Before_Optimization
2023-06-14,Invoice Processing,1.43,0.194,10,Low,Before_Optimization
2023-06-14,Report Generation,4.76,0.1124,13,Low,Before_Optimization
2023-06-14,Data Quality Checks,4.23,0.1518,14,Low,Before_Optimization
2023-06-14,Dashboard Updates,2.66,0.0806,9,Low,Before_Optimization
2023-06-14,Client Communications,1.09,0.1806,9,Low,Before_Optimization
2023-06-14,Performance Reviews,4.89,0.1918,8,Low,Before_Optimization
2023-06-15,Lead Qualification,2.87,0.19,14,Low,Before_Optimization
2023-06-15,Customer Onboarding,7.2,0.1538,14,Low,Before_Optimization
2023-06-15,Invoice Processing,1.32,0.1647,10,Low,Before_Optimization
2023-06-15,Report Generation,3.77,0.1262,12,Low,Before_Optimization
2023-06-15,Data Quality Checks,4.03,0.1417,10,Low,Before_Optimization
2023-06-15,Dashboard Updates,1.7,0.1211,14,Low,Before_Optimization
2023-06-15,Client Communications,1.42,0.0833,9,Low,Before_Optimization
2023-06-15,Performance Reviews,5.86,0.0515,11,Low,Before_Optimization
2023-06-16,Lead Qualification,3.22,0.1629,12,Low,Before_Optimization
2023-06-16,Customer Onboarding,11.0,0.1765,10,Low,Before_Optimization
2023-06-16,Invoice Processing,1.33,0.0928,14,Low,Before_Optimization
2023-06-16,Report Generation,4.46,0.0775,9,Low,Before_Optimization
2023-06-16,Data Quality Checks,3.25,0.1227,10,Low,Before_Optimization
2023-06-16,Dashboard Updates,1.71,0.1082,9,Low,Before_Optimization
2023-06-16,Client Communications,1.43,0.0805,13,Low,Before_Optimization
2023-06-16,Performance Reviews,6.81,0.0773,11,Low,Before_Optimization
2023-06-17,Lead Qualification,3.48,0.1318,8,Low,Before_Optimization
2023-06-17,Customer Onboarding,6.81,0.1063,12,Low,Before_Optimization
2023-06-17,Invoice Processing,2.24,0.0847,12,Low,Before_Optimization
2023-06-17,Report Generation,4.77,0.0982,10,Low,Before_Optimization
2023-06-17,Data Quality Checks,2.55,0.1594,10,Low,Before_Optimization
2023-06-17,Dashboard Updates,2.59,0.1062,11,Low,Before_Optimization
2023-06-17,Client Communications,1.31,0.1485,10,Low,Before_Optimization
2023-06-17,Performance Reviews,8.7,0.1069,9,Low,Before_Optimization
2023-06-18,Lead Qualification,3.16,0.1226,11,Low,Before_Optimization
2023-06-18,Customer Onboarding,9.94,0.0643,14,Low,Before_Optimization
2023-06-18,Invoice Processing,1.25,0.1372,8,Low,Before_Optimization
2023-06-18,Report Generation,4.83,0.1673,12,Low,Before_Optimization
2023-06-18,Data Quality Checks,3.14,0.1516,11,Low,Before_Optimization
2023-06-18,Dashboard Updates,1.8,0.1507,11,Low,Before_Optimization
2023-06-18,Client Communications,1.32,0.0755,8,Low,Before_Optimization
2023-06-18,Performance Reviews,6.26,0.1086,9,Low,Before_Optimization
2023-06-19,Lead Qualification,3.59,0.1638,10,Low,Before_Optimization
2023-06-19,Customer Onboarding,8.83,0.1661,9,Low,Before_Optimization
2023-06-19,Invoice Processing,1.81,0.1449,9,Low,Before_Optimization
2023-06-19,Report Generation,4.06,0.1122,10,Low,Before_Optimization
2023-06-19,Data Quality Checks,2.97,0.0803,10,Low,Before_Optimization
2023-06-19,Dashboard Updates,1.86,0.14,9,Low,Before_Optimization
2023-06-19,Client Communications,1.1,0.1862,11,Low,Before_Optimization
2023-06-19,Performance Reviews,7.93,0.1337,9,Low,Before_Optimization
2023-06-20,Lead Qualification,3.22,0.1074,9,Low,Before_Optimization
2023-06-20,Customer Onboarding,8.92,0.1938,8,Low,Before_Optimization
2023-06-20,Invoice Processing,1.49,0.1539,14,Low,Before_Optimization
2023-06-20,Report Generation,4.98,0.1622,12,Low,Before_Optimization
2023-06-20,Data Quality Checks,3.08,0.0904,11,Low,Before_Optimization
2023-06-20,Dashboard Updates,2.25,0.0918,10,Low,Before_Optimization
2023-06-20,Client Communications,1.22,0.0897,14,Low,Before_Optimization
2023-06-20,Performance Reviews,8.06,0.1732,14,Low,Before_Optimization
2023-06-21,Lead Qualification,3.72,0.168,9,Low,Before_Optimization
2023-06-21,Customer Onboarding,10.31,0.1053,11,Low,Before_Optimization
2023-06-21,Invoice Processing,1.43,0.1196,13,Low,Before_Optimization
2023-06-21,Report Generation,3.29,0.1819,10,Low,Before_Optimization
2023-06-21,Data Quality Checks,4.13,0.1445,13,Low,Before_Optimization
2023-06-21,Dashboard Updates,2.53,0.0985,13,Low,Before_Optimization
2023-06-21,Client Communications,1.42,0.0988,12,Low,Before_Optimization
2023-06-21,Performance Reviews,6.63,0.15,9,Low,Before_Optimization
2023-06-22,Lead Qualification,3.48,0.0874,13,Low,Before_Optimization
2023-06-22,Customer Onboarding,10.36,0.1951,10,Low,Before_Optimization
2023-06-22,Invoice Processing,2.25,0.099,14,Low,Before_Optimization
2023-06-22,Report Generation,5.44,0.1511,10,Low,Before_Optimization
2023-06-22,Data Quality Checks,4.5,0.0862,14,Low,Before_Optimization
2023-06-22,Dashboard Updates,2.03,0.0977,10,Low,Before_Optimization
2023-06-22,Client Communications,0.82,0.1041,10,Low,Before_Optimization
2023-06-22,Performance Reviews,6.51,0.0521,11,Low,Before_Optimization
2023-06-23,Lead Qualification,3.15,0.0848,13,Low,Before_Optimization
2023-06-23,Customer Onboarding,6.5,0.1875,8,Low,Before_Optimization
2023-06-23,Invoice Processing,2.0,0.0558,14,Low,Before_Optimization
2023-06-23,Report Generation,4.63,0.0508,10,Low,Before_Optimization
2023-06-23,Data Quality Checks,3.71,0.1797,9,Low,Before_Optimization
2023-06-23,Dashboard Updates,2.15,0.0604,12,Low,Before_Optimization
2023-06-23,Client Communications,1.33,0.1163,9,Low,Before_Optimization
2023-06-23,Performance Reviews,5.38,0.1368,10,Low,Before_Optimization
2023-06-24,Lead Qualification,3.52,0.1069,9,Low,Before_Optimization
2023-06-24,Customer Onboarding,8.31,0.1292,10,Low,Before_Optimization
2023-06-24,Invoice Processing,1.69,0.1165,9,Low,Before_Optimization
2023-06-24,Report Generation,5.02,0.1707,11,Low,Before_Optimization
2023-06-24,Data Quality Checks,4.37,0.1256,10,Low,Before_Optimization
2023-06-24,Dashboard Updates,2.77,0.1044,13,Low,Before_Optimization
2023-06-24,Client Communications,1.06,0.1913,12,Low,Before_Optimization
2023-06-24,Performance Reviews,7.45,0.0582,10,Low,Before_Optimization
2023-06-25,Lead Qualification,3.22,0.1473,9,Low,Before_Optimization
2023-06-25,Customer Onboarding,9.51,0.1622,14,Low,Before_Optimization
2023-06-25,Invoice Processing,1.83,0.0769,11,Low,Before_Optimization
2023-06-25,Report Generation,3.32,0.137,8,Low,Before_Optimization
2023-06-25,Data Quality Checks,4.16,0.0755,11,Low,Before_Optimization
2023-06-25,Dashboard Updates,2.56,0.0537,10,Low,Before_Optimization
2023-06-25,Client Communications,1.29,0.1757,13,Low,Before_Optimization
2023-06-25,Performance Reviews,7.68,0.1865,11,Low,Before_Optimization
2023-06-26,Lead Qualification,2.85,0.1103,12,Low,Before_Optimization
2023-06-26,Customer Onboarding,9.67,0.1751,9,Low,Before_Optimization
2023-06-26,Invoice Processing,2.17,0.1375,11,Low,Before_Optimization
2023-06-26,Report Generation,4.19,0.0578,12,Low,Before_Optimization
2023-06-26,Data Quality Checks,3.29,0.0627,11,Low,Before_Optimization
2023-06-26,Dashboard Updates,2.83,0.1824,13,Low,Before_Optimization
2023-06-26,Client Communications,1.22,0.1252,10,Low,Before_Optimization
2023-06-26,Performance Reviews,8.52,0.0795,12,Low,Before_Optimization
2023-06-27,Lead Qualification,3.4,0.1827,8,Low,Before_Optimization
2023-06-27,Customer Onboarding,11.98,0.0545,9,Low,Before_Optimization
2023-06-27,Invoice Processing,1.93,0.1405,8,Low,Before_Optimization
2023-06-27,Report Generation,4.5,0.1771,13,Low,Before_Optimization
2023-06-27,Data Quality Checks,2.67,0.1021,12,Low,Before_Optimization
2023-06-27,Dashboard Updates,2.97,0.1725,9,Low,Before_Optimization
2023-06-27,Client Communications,1.46,0.0628,10,Low,Before_Optimization
2023-06-27,Performance Reviews,8.12,0.1124,9,Low,Before_Optimization
2023-06-28,Lead Qualification,2.4,0.1204,13,Low,Before_Optimization
2023-06-28,Customer Onboarding,11.68,0.0612,14,Low,Before_Optimization
2023-06-28,Invoice Processing,1.35,0.196,13,Low,Before_Optimization
2023-06-28,Report Generation,3.66,0.0672,11,Low,Before_Optimization
2023-06-28,Data Quality Checks,2.98,0.1697,13,Low,Before_Optimization
2023-06-28,Dashboard Updates,2.48,0.083,11,Low,Before_Optimization
2023-06-28,Client Communications,1.38,0.1048,11,Low,Before_Optimization
2023-06-28,Performance Reviews,7.63,0.0594,12,Low,Before_Optimization
2023-06-29,Lead Qualification,2.3,0.1847,9,Low,Before_Optimization
2023-06-29,Customer Onboarding,8.32,0.1797,14,Low,Before_Optimization
2023-06-29,Invoice Processing,1.48,0.0648,14,Low,Before_Optimization
2023-06-29,Report Generation,4.05,0.1345,13,Low,Before_Optimization
2023-06-29,Data Quality Checks,2.69,0.1371,13,Low,Before_Optimization
2023-06-29,Dashboard Updates,2.04,0.0505,11,Low,Before_Optimization
2023-06-29,Client Communications,1.14,0.0623,14,Low,Before_Optimization
2023-06-29,Performance Reviews,8.93,0.1094,14,Low,Before_Optimization
2023-06-30,Lead Qualification,2.1,0.1128,8,Low,Before_Optimization
2023-06-30,Customer Onboarding,7.47,0.1021,9,Low,Before_Optimization
2023-06-30,Invoice Processing,1.9,0.1666,14,Low,Before_Optimization
2023-06-30,Report Generation,3.76,0.0567,14,Low,Before_Optimization
2023-06-30,Data Quality Checks,4.16,0.1984,8,Low,Before_Optimization
2023-06-30,Dashboard Updates,2.92,0.0524,12,Low,Before_Optimization
2023-06-30,Client Communications,1.14,0.1612,14,Low,Before_Optimization
2023-06-30,Performance Reviews,7.15,0.1531,11,Low,Before_Optimization
2023-07-01,Lead Qualification,2.63,0.179,9,Low,Before_Optimization
2023-07-01,Customer Onboarding,7.09,0.1548,10,Low,Before_Optimization
2023-07-01,Invoice Processing,2.0,0.0689,12,Low,Before_Optimization
2023-07-01,Report Generation,5.69,0.1727,13,Low,Before_Optimization
2023-07-01,Data Quality Checks,3.59,0.1369,9,Low,Before_Optimization
2023-07-01,Dashboard Updates,2.82,0.1104,11,Low,Before_Optimization
2023-07-01,Client Communications,1.19,0.1058,10,Low,Before_Optimization
2023-07-01,Performance Reviews,5.39,0.1356,11,Low,Before_Optimization
2023-07-02,Lead Qualification,2.29,0.1781,10,Low,Before_Optimization
2023-07-02,Customer Onboarding,7.42,0.1739,13,Low,Before_Optimization
2023-07-02,Invoice Processing,1.83,0.1365,14,Low,Before_Optimization
2023-07-02,Report Generation,4.8,0.0715,13,Low,Before_Optimization
2023-07-02,Data Quality Checks,2.93,0.1908,10,Low,Before_Optimization
2023-07-02,Dashboard Updates,2.07,0.1594,12,Low,Before_Optimization
2023-07-02,Client Communications,1.36,0.0763,8,Low,Before_Optimization
2023-07-02,Performance Reviews,4.91,0.0879,12,Low,Before_Optimization
2023-07-03,Lead Qualification,3.53,0.0875,13,Low,Before_Optimization
2023-07-03,Customer Onboarding,10.61,0.1435,9,Low,Before_Optimization
2023-07-03,Invoice Processing,2.03,0.1441,12,Low,Before_Optimization
2023-07-03,Report Generation,3.85,0.0898,8,Low,Before_Optimization
2023-07-03,Data Quality Checks,3.14,0.0641,9,Low,Before_Optimization
2023-07-03,Dashboard Updates,1.93,0.1923,14,Low,Before_Optimization
2023-07-03,Client Communications,1.0,0.0811,9,Low,Before_Optimization
2023-07-03,Performance Reviews,8.1,0.1385,12,Low,Before_Optimization
2023-07-04,Lead Qualification,2.82,0.1641,14,Low,Before_Optimization
2023-07-04,Customer Onboarding,9.13,0.1145,8,Low,Before_Optimization
2023-07-04,Invoice Processing,1.94,0.1903,9,Low,Before_Optimization
2023-07-04,Report Generation,4.31,0.1741,12,Low,Before_Optimization
2023-07-04,Data Quality Checks,3.82,0.1644,14,Low,Before_Optimization
2023-07-04,Dashboard Updates,2.51,0.084,14,Low,Before_Optimization
2023-07-04,Client Communications,1.44,0.1265,14,Low,Before_Optimization
2023-07-04,Performance Reviews,5.32,0.1439,13,Low,Before_Optimization
2023-07-05,Lead Qualification,2.96,0.1157,13,Low,Before_Optimization
2023-07-05,Customer Onboarding,11.98,0.1694,10,Low,Before_Optimization
2023-07-05,Invoice Processing,1.67,0.0856,14,Low,Before_Optimization
2023-07-05,Report Generation,4.5,0.166,8,Low,Before_Optimization
2023-07-05,Data Quality Checks,3.68,0.0922,13,Low,Before_Optimization
2023-07-05,Dashboard Updates,2.57,0.1416,9,Low,Before_Optimization
2023-07-05,Client Communications,1.07,0.1626,10,Low,Before_Optimization
2023-07-05,Performance Reviews,7.54,0.0816,9,Low,Before_Optimization
2023-07-06,Lead Qualification,3.19,0.1349,14,Low,Before_Optimization
2023-07-06,Customer Onboarding,11.59,0.1049,13,Low,Before_Optimization
2023-07-06,Invoice Processing,1.22,0.174,13,Low,Before_Optimization
2023-07-06,Report Generation,3.45,0.0924,10,Low,Before_Optimization
2023-07-06,Data Quality Checks,3.12,0.0545,10,Low,Before_Optimization
2023-07-06,Dashboard Updates,2.01,0.0562,14,Low,Before_Optimization
2023-07-06,Client Communications,0.99,0.1417,10,Low,Before_Optimization
2023-07-06,Performance Reviews,5.61,0.0943,13,Low,Before_Optimization
2023-07-07,Lead Qualification,3.66,0.1827,11,Low,Before_Optimization
2023-07-07,Customer Onboarding,8.36,0.1869,11,Low,Before_Optimization
2023-07-07,Invoice Processing,2.21,0.0515,8,Low,Before_Optimization
2023-07-07,Report Generation,5.18,0.1434,13,Low,Before_Optimization
2023-07-07,Data Quality Checks,4.07,0.0917,13,Low,Before_Optimization
2023-07-07,Dashboard Updates,1.71,0.1164,8,Low,Before_Optimization
2023-07-07,Client Communications,0.86,0.1988,8,Low,Before_Optimization
2023-07-07,Performance Reviews,8.73,0.0779,9,Low,Before_Optimization
2023-07-08,Lead Qualification,3.63,0.0593,8,Low,Before_Optimization
2023-07-08,Customer Onboarding,7.74,0.1565,14,Low,Before_Optimization
2023-07-08,Invoice Processing,1.36,0.1952,8,Low,Before_Optimization
2023-07-08,Report Generation,5.76,0.0784,13,Low,Before_Optimization
2023-07-08,Data Quality Checks,2.53,0.1857,11,Low,Before_Optimization
2023-07-08,Dashboard Updates,2.66,0.1367,10,Low,Before_Optimization
2023-07-08,Client Communications,1.01,0.0672,10,Low,Before_Optimization
2023-07-08,Performance Reviews,5.03,0.051,11,Low,Before_Optimization
2023-07-09,Lead Qualification,3.51,0.0874,14,Low,Before_Optimization
2023-07-09,Customer Onboarding,8.65,0.1827,11,Low,Before_Optimization
2023-07-09,Invoice Processing,2.0,0.0943,14,Low,Before_Optimization
2023-07-09,Report Generation,3.5,0.116,9,Low,Before_Optimization
2023-07-09,Data Quality Checks,2.79,0.1013,8,Low,Before_Optimization
2023-07-09,Dashboard Updates,2.81,0.1734,12,Low,Before_Optimization
2023-07-09,Client Communications,1.31,0.1297,13,Low,Before_Optimization
2023-07-09,Performance Reviews,7.67,0.1925,13,Low,Before_Optimization
2023-07-10,Lead Qualification,3.04,0.1151,12,Low,Before_Optimization
2023-07-10,Customer Onboarding,9.67,0.1085,13,Low,Before_Optimization
2023-07-10,Invoice Processing,2.15,0.1016,14,Low,Before_Optimization
2023-07-10,Report Generation,3.24,0.1372,12,Low,Before_Optimization
2023-07-10,Data Quality Checks,4.12,0.135,14,Low,Before_Optimization
2023-07-10,Dashboard Updates,2.58,0.1116,9,Low,Before_Optimization
2023-07-10,Client Communications,1.03,0.0516,14,Low,Before_Optimization
2023-07-10,Performance Reviews,5.87,0.167,9,Low,Before_Optimization
2023-07-11,Lead Qualification,3.01,0.1196,10,Low,Before_Optimization
2023-07-11,Customer Onboarding,11.89,0.0822,8,Low,Before_Optimization
2023-07-11,Invoice Processing,2.14,0.1675,11,Low,Before_Optimization
2023-07-11,Report Generation,4.93,0.1795,11,Low,Before_Optimization
2023-07-11,Data Quality Checks,2.62,0.0759,10,Low,Before_Optimization
2023-07-11,Dashboard Updates,2.65,0.1342,12,Low,Before_Optimization
2023-07-11,Client Communications,1.37,0.1975,8,Low,Before_Optimization
2023-07-11,Performance Reviews,4.93,0.1673,14,Low,Before_Optimization
2023-07-12,Lead Qualification,2.25,0.0674,8,Low,Before_Optimization
2023-07-12,Customer Onboarding,10.28,0.1187,12,Low,Before_Optimization
2023-07-12,Invoice Processing,1.84,0.0879,14,Low,Before_Optimization
2023-07-12,Report Generation,5.13,0.1847,14,Low,Before_Optimization
2023-07-12,Data Quality Checks,4.12,0.1216,12,Low,Before_Optimization
2023-07-12,Dashboard Updates,2.71,0.0737,8,Low,Before_Optimization
2023-07-12,Client Communications,1.03,0.0814,8,Low,Before_Optimization
2023-07-12,Performance Reviews,8.31,0.1038,12,Low,Before_Optimization
2023-07-13,Lead Qualification,3.47,0.0832,14,Low,Before_Optimization
2023-07-13,Customer Onboarding,7.18,0.1365,12,Low,Before_Optimization
2023-07-13,Invoice Processing,1.6,0.1189,12,Low,Before_Optimization
2023-07-13,Report Generation,3.77,0.0525,12,Low,Before_Optimization
2023-07-13,Data Quality Checks,4.36,0.1526,8,Low,Before_Optimization
2023-07-13,Dashboard Updates,2.44,0.1906,9,Low,Before_Optimization
2023-07-13,Client Communications,1.09,0.0742,9,Low,Before_Optimization
2023-07-13,Performance Reviews,8.88,0.1343,13,Low,Before_Optimization
2023-07-14,Lead Qualification,3.48,0.0836,11,Low,Before_Optimization
2023-07-14,Customer Onboarding,7.05,0.1419,10,Low,Before_Optimization
2023-07-14,Invoice Processing,1.25,0.154,10,Low,Before_Optimization
2023-07-14,Report Generation,4.19,0.1326,9,Low,Before_Optimization
2023-07-14,Data Quality Checks,4.15,0.1722,12,Low,Before_Optimization
2023-07-14,Dashboard Updates,2.21,0.1849,9,Low,Before_Optimization
2023-07-14,Client Communications,0.87,0.1032,12,Low,Before_Optimization
2023-07-14,Performance Reviews,7.03,0.1307,12,Low,Before_Optimization
2023-07-15,Lead Qualification,2.12,0.1093,11,Low,Before_Optimization
2023-07-15,Customer Onboarding,9.52,0.0544,13,Low,Before_Optimization
2023-07-15,Invoice Processing,1.36,0.083,12,Low,Before_Optimization
2023-07-15,Report Generation,5.19,0.0644,14,Low,Before_Optimization
2023-07-15,Data Quality Checks,3.94,0.1937,12,Low,Before_Optimization
2023-07-15,Dashboard Updates,2.77,0.0575,11,Low,Before_Optimization
2023-07-15,Client Communications,1.44,0.1453,8,Low,Before_Optimization
2023-07-15,Performance Reviews,6.0,0.0637,13,Low,Before_Optimization
2023-07-16,Lead Qualification,2.93,0.1516,12,Low,Before_Optimization
2023-07-16,Customer Onboarding,8.63,0.1166,13,Low,Before_Optimization
2023-07-16,Invoice Processing,1.35,0.1749,13,Low,Before_Optimization
2023-07-16,Report Generation,5.84,0.0856,11,Low,Before_Optimization
2023-07-16,Data Quality Checks,3.2,0.1873,9,Low,Before_Optimization
2023-07-16,Dashboard Updates,2.78,0.1226,8,Low,Before_Optimization
2023-07-16,Client Communications,1.02,0.136,10,Low,Before_Optimization
2023-07-16,Performance Reviews,7.15,0.1743,10,Low,Before_Optimization
2023-07-17,Lead Qualification,3.71,0.1949,11,Low,Before_Optimization
2023-07-17,Customer Onboarding,7.71,0.0816,13,Low,Before_Optimization
2023-07-17,Invoice Processing,2.06,0.1161,8,Low,Before_Optimization
2023-07-17,Report Generation,4.32,0.1675,10,Low,Before_Optimization
2023-07-17,Data Quality Checks,3.35,0.167,8,Low,Before_Optimization
2023-07-17,Dashboard Updates,2.44,0.1489,8,Low,Before_Optimization
2023-07-17,Client Communications,1.1,0.0957,8,Low,Before_Optimization
2023-07-17,Performance Reviews,5.56,0.1434,14,Low,Before_Optimization
2023-07-18,Lead Qualification,2.73,0.1245,14,Low,Before_Optimization
